Year,Brand,Campaign,Star Date,End Date,TA,Publisher,Reach Fre.,cost,Universe(000),tauv,Market,index,reach,split,IMP Actual
2020,DMG,DMG Y20 P1 CNY Thematic ,2020/1/8,2020/1/28,P13-35,Weibo,1+,2329809.0,407424.0,78025496.0,national,223,0.19150932689286837,BPI,
2020,DMG,DMG Y20 P1 CNY Thematic ,2020/1/8,2020/1/28,P13-35,Bytedance,1+,1079425.0,407424.0,25189224.0,national,224,0.06182557728557964,BPI,
2020,DMG,DMG Y20 P6 After Meal,2020/5/17,2020/6/13,P13-35,Tencent,1+,427889.0,407424.0,6783143.0,national,226,0.016648854755733584,BPI,
2020,DMG,DMG Y20 P8 After Meal,2020/8/2,2020/8/18,P13-35,Douyin,1+,1623014.0,407424.0,22815744.0,national,228,0.056,BPI,
2020,DMG,DMG Y20 P6-P10 Eleme co-op,2020/5/17,2020/10/3,P13-35,Eleme,1+,2209600.0,407424.0,23303302.0,national,230,0.057196684535029844,BPI,
2020,DMG,DMG Y20 P6-P10 Eleme co-op,2020/5/17,2020/10/3,P13-35,Eleme,1+,290400.0,407424.0,3208672.0,national,231,0.007875510524662269,BPI,
2020,DMG,DMG Y20 P6-P10 Eleme co-op,2020/5/17,2020/10/3,P13-35,Eleme,1+,0.0,407424.0,29348830.0,national,232,0.07203510347942194,BPI,
2020,DMM,DMM Y20 BPI P8 Under Masking Campaign,2020/7/29,2020/8/7,P13-35,Douyin,1+,437011.0,407424.0,11013082.0,national,234,0.027031009464341817,BPI,
2020,DMM,DMM Y20 P9 Kissing Campaign,2020/8/13,2020/9/19,P13-35,Douyin,1+,799650.0,407424.0,27040416.0,national,236,0.06636922714420358,BPI,
2020,DMM,DMM Y20 P9 Kissing Campaign,2020/8/13,2020/9/19,P13-35,Douyin,1+,1515330.0,407424.0,28253221.0,national,237,0.0693459909087339,BPI,
2019,Skittles,Skittles Y19 BPI P1 CNY,2018/12/31,2019/3/31,P13-50,Tencent,1+,1500000.0,770785000.0,10790990.0,national,239,1.4e-05,BPI,
2019,Skittles,Skittles Y19 BPI P1 CNY,2019/1/8,2019/2/4,P13-50,Youku,1+,999996.0,770785000.0,106659361.0,national,240,0.0001383775774048535,BPI,
2019,Skittles,Skittles Y19 BPI P1 CNY,2019/1/8,2019/2/4,P13-50,Youku,1+,293542.0,770785000.0,78554471.0,national,241,0.00010191489325817186,BPI,
2019,Skittles,Skittles Y19 BPI P1 CNY,2019/1/8,2019/2/4,P13-50,Youku,1+,587770.0,770785000.0,15812954.0,national,242,2.0515388856814806e-05,BPI,
2019,Skittles,Skittles Y19 BPI P1 CNY,2019/1/11,2019/2/4,P13-50,Tencent,1+,999775.0,770785000.0,25978521.0,national,243,3.370397841161932e-05,BPI,
2019,Skittles,Skittles Y19 BPI P1 CNY,2019/1/11,2019/2/4,P13-50,Tencent,1+,0.0,770785000.0,5585123.0,national,244,7.246019317968045e-06,BPI,
2019,Skittles,Skittles Y19 BPI P1 CNY,2019/1/21,2019/2/5,P13-50,Heran,1+,1000000.0,770785000.0,5013589.0,national,245,6.50452331065083e-06,BPI,
2019,Skittles,Skittles Y19 BPI P1 CNY,2019/1/18,2019/1/23,P13-50,Weibo,1+,1493397.0,770785000.0,47395148.0,national,246,6.148945296029372e-05,BPI,
2019,Skittles,Skittles Y19 BPI P4 Flora,2019/3/2,2019/5/20,P13-35,Weibo,1+,783454.0,424343000.0,15743623.0,national,248,3.7101172871945575e-05,BPI,
2019,Skittles,Skittles Y19 BPI P4 Flora,2019/5/10,2019/5/26,P13-35,Tencent,1+,0.0,424343000.0,2308636.0,national,249,5.440495071204191e-06,BPI,
2019,Skittles,Skittles Y19 BPI P4 Flora,2019/5/26,2019/5/26,P13-35,Toutiao,1+,150000.0,424343000.0,3740487.0,national,250,8.8147724835805e-06,BPI,
2019,Skittles,Skittles Y19 BPI P7 Spiderman,2019/6/28,2019/7/7,P13-35,Youku,1+,549917.0,770785000.0,145516804.0,national,252,0.0001887903942085017,BPI,
2019,Skittles,Skittles Y19 BPI P10,2019/9/16,2019/10/12,P13-35,Tencent,1+,3745320.0,424343000.0,77293346.0,national,255,0.00018214827627650274,BPI,
2019,Skittles,Skittles Y19 BPI P10,2019/9/16,2019/9/24,P13-35,Youku,1+,370500.0,424343000.0,53000631.0,national,256,0.00012490044845796914,BPI,
2019,Skittles,Skittles Y19 BPI P10,2019/9/16,2019/9/21,P13-35,Tencent,1+,0.0,424343000.0,2957166.0,national,257,6.9688106083993375e-06,BPI,
2020,Skittles,Skittles Y20 BPI P1 CNY,2020/1/5,2020/1/25,P13-35,Youku,1+,200000.0,424343000.0,9903806.0,national,259,2.3339152525197775e-05,BPI,
2020,Skittles,Skittles Y20 BPI P1 CNY,2020/1/5,2020/1/25,P13-35,Tencent,1+,1932048.0,424343000.0,39448463.0,national,260,9.296362376662276e-05,BPI,
2020,Skittles,Skittles Y20 BPI P1 CNY,2020/1/5,2020/1/25,P13-35,Tencent,1+,0.0,424343000.0,6227833.0,national,261,1.4676412713300326e-05,BPI,
2020,Skittles,Skittles Y20 BPI P1 CNY,2019/12/29,2020/1/25,P13-35,Toutiao,1+,1150000.0,424343000.0,17066945.0,national,262,4.021969256002809e-05,BPI,
2020,Skittles,Skittles Y20 BPI P1 CNY,2020/1/7,2020/1/7,P13-35,Douyin,1+,285000.0,424343000.0,3595145.0,national,263,8.472261825928552e-06,BPI,
2020,Skittles,Skittles Y20 BPI P1 CNY,2020/1/7,2020/1/13,P13-35,Douyin,1+,883400.0,424343000.0,11051753.0,national,264,2.6044386262999508e-05,BPI,
2020,Skittles,Skittles Y20 BPI P1 CNY,2020/1/7,2020/1/13,P13-35,Douyin,1+,1075000.0,424343000.0,76126688.0,national,265,0.0001793989484921396,BPI,
2020,Skittles,Skittles Y20 BPI P1 CNY,2020/1/7,2020/1/13,P13-35,Douyin,1+,156630.0,424343000.0,2273256.0,national,266,5.357119122973632e-06,BPI,
2020,Skittles,Skittles Y20 BPI P6 Dairy,2020/5/25,2020/6/20,P13-35,Tencent,1+,1912992.0,407424000.0,39841757.0,national,268,9.778942084904178e-05,BPI,
2020,Skittles,Skittles Y20 BPI P6 Dairy,2020/5/25,2020/6/20,P13-35,Ali Serialization,1+,2000000.0,407424000.0,18364346.0,national,269,4.507428624725102e-05,BPI,
2020,Skittles,Skittles Y20 BPI P6 Dairy,2020/6/17,2020/6/18,P13-35,Ali Serialization,1+,0.0,407424000.0,879789.0,national,270,2.159394144674835e-06,BPI,
2020,Skittles,Skittles Y20 BPI P6 Dairy,2020/6/1,2020/6/2,P13-35,Youku,1+,0.0,407424000.0,15250247.0,national,271,3.7430899996072885e-05,BPI,
2020,Skittles,Skittles Y20 BPI P9 Gummi,2020/8/18,2020/8/27,P13-35,Douyin,1+,699196.0,407424000.0,13577099.0,national,273,3.332424943056865e-05,BPI,
2020,Skittles,Skittles Y20 BPI P9 Gummi,2020/8/25,2020/9/28,P13-35,"Youku, Tencent, Iqiyi, Mango, Douyin",1+,4254398.0,407424000.0,153052790.0,national,274,0.0003756597304037072,BPI,
2020,Skittles,Skittles Y20 BPI P9 Gummi,2020/9/17,2020/9/17,P13-35,Douyin,1+,0.0,407424000.0,787796.0,national,275,1.933602340559221e-06,BPI,
